Asset Category,Asset Name as at 31 March 2014,Holding,Market Value (£),Energy utility,Coal / mining,Oil and gas
,AXA 6.772%-FRN EMTN PERP GBP'27,400000,432250,No,No,No
,AXA SA 5.625% 16/01/2054,900000,896844.6,No,No,No
,AXIS BANK LTD COMMON STOCK,103744,1520217.01,No,No,No
,AZIMUT HLDG S.P.A NPV,208500,4460911.41,No,No,No
,B.A.T.INTERNATIONAL FINANCE 4.0% 04/09/2026 GBP100000,900000,894773.7,No,No,No
,BAA (SH) PLC 7.125% A/BKD 14/02/2024 GBP,1200000,1434398.4,No,No,No
,BABCOCK INTL GROUP ORD GBP0.60,853987,11503204.89,No,No,No
,BAE SYSTEMS 4.125% NTS 08/06/22 GBP1000,1100000,1119911.1,No,No,No
,BAE SYSTEMS ORD GBP0.025,847538,3510502.4,No,No,No
,BAILLIE GIFFORD & CO ACTV IDX LKD GLT PLS C ACC,13592332,23338034.38,No,No,No
,BAILLIE GIFFORD INV GRADE BD C GROSS ACC,14464012,24039188.74,No,No,No
,BAILLIE GIFFORD JAPANESE SML COS C NAV ACC,120513,2364459.1,No,No,No
,BAJAJ AUTO LTD INR10,140008,2916693.47,No,No,No
,BALL CORP COM,21925,721211.01,No,No,No
,BANCO BILBAO VIZCAYA ARG 7.0% 29/12/2049,600000,500470.48,No,No,No
,BANCO SANTANDER SA 6.25% 12/03/2049,600000,488526.17,No,No,No
,BANK OF AMERICA CORP,519300,5360736.86,No,No,No
,BANK OF AMERICA CORPORATION BNDS 4.25% 10/12/2026,300000,303193.8,No,No,No
,BANK OF IRELAND ORD STK EUR0.1,2565652,655404.62,No,No,No
,BANK RAKYAT INDONESIA PERSER,14167200,7143883.31,No,No,No
,BARCLAYS BANK PLC 14%-VAR SUB PERP GBP50000,600000,811125,No,No,No
,BARCLAYS BANK PLC 6.625% MTN 30/03/22 EUR1000,900000,904906.34,No,No,No
,BARCLAYS BK PLC FLTG RT 7.75% DUE 04-10-2023,1400000,925831.45,No,No,No
,BARRATT DEVELOPMENTS ORD GBP0.10,1228879,5062981.48,No,No,No
,BASF - ORD SHS COMSTK,281209,18798198.02,No,No,Yes
,BAT INTL FINANCE 6% GTD EMTN 24/11/34 GBP,550000,661477.85,No,No,No
,BAT INTL FINANCE 7.25% MTN 12/03/24 GBP,600000,765076.2,No,No,No
,BAXTER INTL INC COM,124114,5477795.99,No,No,No
,BBVA BANCOMER S.A. 6.5% SUB 10/03/2021 USD1000,350000,226996.66,No,No,No
,BCE INC COM NPV,613682,15878012.13,No,No,No
,BCO BRADESCO SA PRF NPV,176730,1460095.41,No,No,No
,BCO EST R GDE SUL PRF CLASS 'B' NPV,267400,917651.11,No,No,No
,BEIERSDORF AG EUR1,59216,3467934.51,No,No,No
,BEIJING ENTERPRISE NPV,308500,1650782.89,No,No,No
,BELGACOM SA NPV,305906,5748316.84,No,No,No
,BELLE INTERNATIONA HKD0.01,3369000,2003346.38,No,No,No
,BELLWAY GBP0.125,180879,3000782.61,No,No,No
,BERKLEY GP HOLDINGS,213598,5596267.6,No,No,No
,BERKLEY W R CORP COM,136200,3401834.06,No,No,No
,BETFAIR GROUP PLC-W/I,114003,1258593.12,No,No,No
,BHP BILLITON FINANCE LTD 3.25% 25/09/2024 GBP1000,1050000,995413.65,No,Yes,No
,BHP BILLITON FINANCE LTD 4.3% 25/09/2042,550000,525086.1,No,Yes,No
,BHP BILLITON LTD NPV,486468,9863357.79,No,Yes,No
,BIDVEST GROUP ZAR0.05,115060,1825220.32,No,No,No
,BK MANDIRI IDR500,2860100,1427118.32,No,No,No
,BK OF AMERICA CORP 7% SNR EMTN 31/07/2028 GBP,2050000,2652378.15,No,No,No
,BK OF NOVA SCOTIA COM NPV,46148,1605798.13,No,No,No
,BM&FBOVESPA SA COM NPV,214700,642058.37,No,No,No
,BNP PARIBAS 5.75% EMTN 24/1/22 GBP1000,1203000,1327496.06,No,No,No
,BNP PARIBAS EUR2,50299,2328215.01,No,No,No
,BNP PARIBAS FORTIS 4.625%-FR SUB PERP EUR50000,700000,581764.2,No,No,No
,BODYCOTE PLC ORD GBP0.1727272,377558,3046893.06,No,No,No
,BOLLORE EUR16,11077,4214724.77,No,No,No
,BOUYGUES EUR1,711843,17816469.05,No,No,No
,BOVIS HOMES GROUP GBP0.50,255000,2277150,No,No,No
,BP ORD USD0.25,2769808,13295078.4,No,No,Yes
,BPCE 5.15% SUB 21/07/24 USD'144A,1000000,596730.31,No,No,No
,BPCE 5.7% SUB 22/10/23 USD'REGS',200000,124032.02,No,No,No
,BRAKES CAPITAL 7.125% BDS 28/11/2018 GBP,450000,461979,No,No,No
,BRAMBLES LTD NPV,612005,3150653.93,No,No,No
,BRENNTAG AG NPV,22100,2460095.11,No,No,No
,BRIDGESTONE CORP NPV,115500,2461476.57,No,No,No
,BRINKER INTL INC COM,170300,5357786.92,No,No,No
,BRINKS CO COM STOCK,96781,1656797.27,No,No,No
,BRISTOL MYERS SQUIBB CO COM,640180,19944784.34,No,No,No
,BRITISH AMERICAN TOBACCO ORD GBP0.25,561718,18733295.3,No,No,No
,BRITISH TELECOM 5.75% BDS 7/12/2028 GBP(VAR,900000,1013499,No,No,No
,BROADGATE FIN 4.999% NTS 05/10/31 GBP 'B',1250000,1376740,No,No,No
,BT GROUP ORD GBP0.05,5563874,21114901.83,No,No,No
,BUNZL PLC ORD GBP0.32142857,369880,5903284.8,No,No,No
,BUPA FINANCE 5% DUE 25/04/2023,1350000,1354039.2,No,No,No
,BURBERRY GROUP ORD GBP0.0005,171987,2399218.65,No,No,No
,BUREAU VERITAS EUR0.12,122800,2259327.73,No,No,No
,BWIN.PARTY DIGITAL ORD GBP0.00015,2022191,2558071.62,No,No,No
,CABOT FINANCIAL LUX SA 10.375% 01/10/2019,350000,398580,No,No,No
,CAFE DE CORAL HLDG HKD0.10,1018000,1834139.63,No,No,No
,CAIRN INDIA LTD INR10,537990,1793095.14,No,No,Yes
,CALUMET SPECIALTY 9.625 DUE 08-01-2020,650000,447395.23,No,No,No
,CAMPBELL SOUP CO COM,271700,7314216.04,No,No,No
,CANADIAN TIRE LTD CLASS'A'CUM NON-VTG COM NPV,21556,1220413.75,No,No,No
,CANDOVER INVSTMNTS PLC GBP0.25,72466,376823.2,No,No,No
,CANON INC NPV,1271800,23629841.97,No,No,No
,CAPE ORD GBP0.25,188179,588059.38,No,No,No
,CARDINAL HLTH INC,93200,3912146.84,No,No,No
,CARLSBERG SER'B'DKK20,17538,1045760.48,No,No,No
,CARMAX INC COM,41476,1163810.79,No,No,No
,CATERPILLAR INC COM,71000,4232360.36,No,No,No
,CATLIN GROUP COM STK USD0.01,649400,3490525,No,No,No
,CCR SA COM NPV,438400,2026562.84,No,No,No
,CDN NATL RAILWAYS COM NPV,107400,3624519.53,No,No,No
,CDN UTILITIES CLASS'A'COM NON-VTG NPV,176600,3943495.98,No,No,No
,CENTERPOINT ENERGY INC COM,256300,3641991.8,Yes,No,No
,CENTRICA 6.375% EMTN 10/03/2022 GBP,350000,411778.15,Yes,No,No
,CENTRICA ORD GBP0.061728395,5132591,16917019.94,Yes,No,No
,CENTRICA PLC 4.375% EMTN 13/03/29 GBP1000,1450000,1429331.7,Yes,No,No
,CENTURYLINK INC COM,195600,3854158.06,No,No,No
,CETIP SA MERCADOS ORGANIZADOS,203082,1480768.57,No,No,No
,CFS RETAILS PROPERTY TRUST GROUP,592555,622623.08,No,No,No
,CHEUNG KONG INFSTR HKD1,125000,478458.1,No,No,No
,CHEUNG KONG(HLDGS) NPV,421000,4183250.96,No,No,No
,CHEVRON CORP COM,137163,9782370.94,No,No,Yes
,CHINA CONSTRUCTION BANK'H'CNY1,9724000,4075425.26,No,No,No
,CHINA MOBILE LTD HKD0.10,4313382,23681268.73,No,No,No
,CHINA RES PWR HLDG NPV,1658000,2583379.88,No,Yes,No
,CHINA RESOURCE ENTERPRISE HKD1,460000,775430.75,No,Yes,No
,CHINA RESOURCES LAND HKD0.10,2660000,3484365.77,No,Yes,No
,CHINA SHENHUA ENERGY CO 'H',753500,1299322.07,No,Yes,No
,CHR. HANSEN HLDG DKK10,111700,2656769.65,No,No,No
,CHRYSLER GROUP LLC 8% DUE 06-15-2019,550000,361245.22,No,No,No
,CHUBB CORP COM,61700,3305297.47,No,No,No
,CHUGAI PHARMACY CO. LTD NPV,394700,6055279.73,No,No,No
,CIA HERING COM NPV,168700,1227830.66,No,No,No
,CIELO SA COM NPV,54540,1048198.13,No,No,No
,CIMAREX ENERGY CO COM,39600,2829232.95,No,No,Yes
,CIN FNCL CORP COM,113500,3311423.49,No,No,No
,CISCO SYSTEMS INC,243118,3268016.71,No,No,No
,CITIGROUP INC 4.5% EMTN 03/03/31 GBP1000,1350000,1281325.5,No,No,No
,CITIGROUP INC 5.125% SUB EMTN 12/12/18GBP (VAR)'7',1300000,1395789.2,No,No,No
,CITIGROUP INC COM NEW COM NEW,87400,2494895.93,No,No,No
,CLARIANT AG CHF3.70 (REGD),259781,3028796.86,No,No,No
,CLOSE BROS GROUP ORD GBP0.25,273092,3856059.04,No,No,No
,CLOVERIE PLC SWISS REINS 6.625% 01/09/2042,1100000,1120472.17,No,No,No
,CLP HOLDINGS NPV,733000,3312967.58,Yes,No,No
,CMS ENERGY CORP COM,226300,3974485.56,Yes,No,No
,CNH INDUSTRIAL NV COM EUR0.01,929700,6410060.8,No,No,No
,CNOOC LTD HKD0.02,4758000,4289944.6,No,No,Yes
,COACH INC COM,81000,2412776.15,No,No,No
,COCA COLA CO COM,250600,5809728.83,No,No,No
,COCA-COLA AMATIL NPV,1896643,11630432.13,No,No,No
,COCA-COLA HBC AG ORD (CDI),89950,1342054,No,No,No
,COCHLEAR LTD NPV,39319,1245764.26,No,No,No
,COLGATE-PALMOLIVE CO COM,258947,10074259.31,No,No,No
,COMCAST CORP NEW 5.5% DUE 11-23-2029,1100000,1242417,No,No,No
,COMPASS GROUP ORD GBP0.10,395974,3623162.1,No,No,No
,COMPUTACENTER ORD GBP0.06667,178723,1165273.96,No,No,No
,CONAGRA FOODS INC,183200,3408729.66,No,No,No
,CONOCOPHILLIPS COM,176000,7425750.09,No,No,Yes
,CONS EDISON INC COM,108900,3503821.28,No,No,No
,CORIO NV EUR10,8596,235719.3,No,No,No
,COSTCO WHOLESALE CORP NEW COM,47900,3208465.15,No,No,No
,COVENTRY BS 5.875% EMTN 28/09/2022 GBP,2500000,2903975,No,No,No
,CPUK FIN LTD 7.239% 28/02/2024,400000,489690,No,No,No
,CPUK FINANCE LTD 11.625% 28/02/2042,400000,450000,No,No,No
,CREDICORP LTD COM STK,19500,1607230.81,No,No,No
,CREDIT ACCEP CORP MICH COM,14154,1203193.93,No,No,No
,CREDIT AGRICOLE SA 5.136%-FRN PERP GBP50000,500000,515000,No,No,No
,CREDIT AGRICOLE SA 7.375% BDS 18/12/23 GBP5000,550000,660646.25,No,No,No
,CREDIT AGRICOLE SA 8.125%-VAR 19/09/2033USD,1000000,686470.88,No,No,No
,CREDIT SUISSE AG CHF0.04(REGD),472167,9166472.77,No,No,No
,CREST NICHOLSON HL ORD GBP0.05,520000,2044120,No,No,No
,CRH PLC EQUITY,62856,1052209.44,No,No,No
,CUPID PLC GBP0.025,495000,324225,No,No,No
,CVS CAREMARK CORP COM STK,45295,2034423.66,No,No,No
,DAI NIPPON PRINTNG NPV,582000,3352513.92,No,No,No
,DAIMLER AG COM,119939,6810942.39,No,No,No
,DAITO TRUST CONST NPV,26000,1444381.71,No,No,No
,DAIWA SECS GROUP INC,894000,4675899.51,No,No,No
,DALI CAPITAL 4.79924% EMTN 21/12/37 GBP,1950000,1917212.7,No,No,No
,DANAHER CORP COM,79800,3589001.37,No,No,No
,DANONE EUR0.25,192003,8147653.4,No,No,No
,DANSKE BANK A/S 3.875% BDS 04/10/23 EUR1000,500000,435738.25,No,No,No
,DANSKE BANK A/S 5.6838%-FRN PERP GBP'217',1050000,1092000,No,No,No
,DEERE & CO COM,12560,684070.38,No,No,No
,DELAMARE FINANCE 5.5457% BDS 19/02/29 GBP,950000,1034150.05,No,No,No
,DELPHI CORP 6.125 DUE 05-15-2021,1350000,900863.7,No,No,No
,DEUTSCHE BANK MEX CBFI (FIBRA UNO ADMINISTR),1652200,3201987.23,No,No,No
,DEUTSCHE BK A G FLTG RT 4.296% DUE 05-24-2028,1650000,932554.03,No,No,No
,DEUTSCHE BOERSE AG NPV(REGD),56070,2677386.13,No,No,No
,DEUTSCHE POST AG NPV(REGD),1159655,25889654.43,No,No,No
,DIAGEO ORD PLC,498564,9275783.22,No,No,No
,DIAMOND OFFSHORE DRILLING INC COM,337161,9857077.14,No,No,Yes
,DIGITAL STOUT HOLD 4.25% SNR 17/01/2025 GBP,950000,897552.4,No,No,No
,DIPLOMA ORD GBP0.05,344729,2471706.93,No,No,No
,DIRECTV HOLDINGS/FING 4.375 DUE 09-14-2029,1100000,1019546,No,No,No
,DISCOVER FINL SVCS 3.85% DUE 11-21-2022,550000,323842.32,No,No,No
,DISTRIBUIDORA INTL DE ALIMENTACION EUR0.01,188884,1033728.35,No,No,No
,DMG MORI SEIKI CO LTD NPV,225100,1707016.79,No,No,No
,DNB BANK ASA 6.0116%-FRN PERP GBP'REGS',400000,420130,No,No,No
,DOLBY LABORATORIES INC CL A COM STK,45704,1219394.65,No,No,No
,DOMINICAN REPUBLIC 5.875% BDS 18/04/24 TBOND,750000,446495.49,No,No,No
,DOMINION RES INC VA NEW COM,92400,3934544.35,No,No,No
,DON QUIJOTE HOLDINGS CO LTD,107900,3349654.14,No,No,No
,DONG ENERGY A/S 4.875% MTN 12/01/2032 GBP,700000,712526.5,Yes,No,No
,DRAGON OIL ORD EUR0.10,78337,437078.69,No,No,Yes
,DRAX GROUP ORD GBP0.1155172,490000,3746050,Yes,No,No
,DTE ENERGY CO COM,89800,3999429.93,Yes,No,No
,DUKE ENERGY CORP NEW COM NEW COM NEW,85800,3664313.13,No,No,No
,DUN & BRADSTREET CORP DEL NEW COM,13205,787238.62,No,No,No
,EAGLE ROCK ENERGY GTD SR NT 8.375 DUE 06-01-2019,550000,357946.17,No,No,Yes
,EAST JAPAN RAILWAY 5.25% MTN 22/04/33 GBP50000,1600000,1843801.6,No,No,No
,EAST JAPAN RAILWAY CO NPV,102600,4544623.32,No,No,No
,EASYJET ORD GBP0.27285714,864110,14819486.5,No,No,No
,EBAY INC COM USD0.001,61271,2029809.63,No,No,No
,ECOLAB INC COM,135000,8743033.99,No,No,No
,ECORODOVIAS INFRA COM NPV,312500,1123095.43,No,No,No
,EDENRED EUR2,132563,2495939.06,No,No,No
,EDF 5.5% MTN 27/03/37 GBP100000,200000,218111,No,No,No
,EDF EUR0.5,1037872,24638024.53,Yes,No,No
,EDISON INTL COM,131100,4450864.98,No,No,No
,EDU UK BONDCO 8.875% SNR SEC 15/09/18 GBP,300000,312069,No,No,No
,EISAI CO NPV,153600,3592826.4,No,No,No
,ELEC DE FRANCE 6.0% 23/01/2114,600000,671605.2,Yes,No,No
,ELECTR NORTH WEST 8.875% BDS 25/3/26 GBP(BR),500000,719042.5,No,No,No
,ELECTRA PRIVATE EQ ORD GBP0.25,102000,2654040,No,No,No
,ELECTRICITE DE FRANCE 5.5% 17/10/2041,3700000,4052639.6,Yes,No,No
,ELECTRICITE DE FRANCE MTN 5.875% DUE 31/12/2049,500000,508437.5,Yes,No,No
,ELECTROLUX AB SER'B'NPV (POST SPLIT),124712,1629128.58,No,No,No
,ELI LILLY & CO COM,612372,21620258.37,No,No,No
,EMC CORP COM,209539,3445079.11,No,No,No
,EMPIRE CO CLASS'A'N/VTG COM NPV,84000,3085434.24,No,No,No
,ENAGAS SA EUR1.50,198796,3623844.07,No,No,Yes
,ENBRIDGE INC COM NPV,146600,4000172.82,No,No,Yes
,ENEL FIN INT NV 5.75% MTN 14/09/2040 GBP,600000,602386.8,No,No,No
,ENERGY ASSETS GROU ORD GBP0.01,23941,79005.3,No,No,No
,ENERGY TRANSFER PARTNERS L P UNIT LTD PARTNERSHIP INT,111600,3600064.57,No,No,Yes
,ENERSIS S.A ADR,228300,2126682.53,No,No,No
,ENI SPA EUR1,1076021,16198841.65,No,No,Yes
,ENQUEST PLC ORD GBP0.05,2471255,3064356.2,No,No,No
,ENTERGY CORP NEW COM,97300,3900987.68,Yes,No,No
,ENTERTAINMENT ONE LTD,464576,1532171.65,No,No,No
,EOG RESOURCES INC COM,13969,1643702.47,No,No,Yes
,ESSILOR INTL EUR0.18,57104,3455658.99,No,No,No
,ETABLISSEMENTEN COLRUYT ORDSHR,106130,3507356.44,No,No,No
,ETFS METAL SECURIT ETFS PHYSICAL GOLD (USD),205000,15412349.49,No,No,No
,EXELON CORP COM,704306,14177793.21,No,No,No
,EXPERIAN ORD USD0.10,325364,3517184.84,No,No,No
,EXXON MOBIL CORP COM,114553,6711775.41,No,No,Yes
,FACEBOOK INC CL A CL A,13727,495922.48,No,No,No
,FAIRFAX FINL HLDGS LTD SUB VTG,4515,1171898.56,No,No,No
,FAIRFAX MEDIA LIMITED HLDGS NPV,5107207,2583804.2,No,No,No
,FANUC CORP NPV,48800,5174421.69,No,No,No
,FAST RETAILING CO LTD NPV,12100,2637184.21,No,No,No
,FCE BK PLC 3.25% 19/11/2020,600000,595956,No,No,No
,FEDEX CORP COM,63800,5074838.79,No,No,No
,FERREXPO PLC ORD GBP0.10,1181036,1825881.66,No,No,No
,FIDELITY NATL INFORMATION SVCS INC COM STK,359941,11539960.59,No,No,No
,FIRST REP BK SAN FRANCISCO CALIF NEW COM,50295,1628180.42,No,No,No
,FISERV INC COM,7119,242032.75,No,No,No
,FLIR SYS INC COM,63170,1364076.34,No,No,No
,FORD MTR CR CO LLC 5.75% DUE 02-01-2021,600000,410685.52,No,No,No
,FORTIS INC COM NPV,203800,3488745.55,No,No,No
,FORTUM OYJ EUR3.40,999154,13612657.13,No,No,No
,FRESENIUS MED CARE 6.875% DUE 07-15-2017,600000,406682.04,No,No,No
,FRESENIUS MEDICAL CARE NPV,86297,3612076.11,No,No,No
,FRKLN RES INC COM,139600,4536800.86,No,No,No
,FUGRO NV CVA EUR0.05,152200,5613065.92,No,No,No
,FUT JUN 14 10 YR T-NOTES,-359,166549.93,No,No,No
,FUT JUN 14 5 YR T NOTE,18,-8266.35,No,No,No
,FUT JUN 14 CBT UL T-BONDS,13,19494.35,No,No,No
,FUT JUN 14 EURO BUXL BND,-2,-396.82,No,No,No
,FUT JUN 14 EURX E-SCHATZ,158,-13062.02,No,No,No
,FUT JUN 14 EURX EUR-BOBL,26,1074.72,No,No,No
,FUT JUN 14 EURX EUR-BUND,-84,-18055.35,No,No,No
,FUT JUN 14 LIF LONG GILT,132,110697.34,No,No,No
,FUT JUN 14 ME 10Y CDN BND,-2,-445.62,No,No,No
,FUT JUN 14 SFE 10Y T-BOND,1,467.39,No,No,No
,FUT JUN 14 TSE 10Y JGB,-7,5707.91,No,No,No
,FUT JUN 14 U.S. T-BONDS,-37,-24447.54,No,No,No
,FUT JUN 14 US 2YR T-NOTE,158,-26654.77,No,No,No
,G4S PLC ORD 25P,1402754,3387650.91,No,No,No
,GATWICK 6.5% 02/03/2041,1050000,1301174.7,No,No,No
,GAZPROM SPON ADR EA REP 2 ORD SHS,405823,1874358.58,No,No,Yes
,GDF SUEZ 5% MTN 01/10/2060 GBP50000,250000,263109.75,Yes,No,No
,GDF SUEZ 7% SNR EMTN 30/10/2028 GBP,1850000,2404581.9,Yes,No,No
,GDF SUEZ EUR1,65486,1075179.5,Yes,No,No
,GDR CHARM COMMUNICATIONS INC ADR REPSTG SHS CL A,74444,191563.29,No,No,No
,GE CAPITAL UK FUND 6.25% GTD MTN 05/05/38 GBP,1500000,1895889,No,No,No
,GEM DIAMONDS ORD USD0.01 (DI),310954,534840.88,No,No,No
,GEMALTO EUR1,26708,1866624.14,No,No,No
,GEN ELEC CAP CORP 4.875% SUB 18/09/37 GBP1000,1650000,1691226.9,No,No,No
